aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
REGULAR,AVIÃO,AIRBUS INDUSTRIE,A321-231,JATO,BIMOTOR,232,2007,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,REGULAR,NENHUM,0
REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,JATO,BIMOTOR,184,2008,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0
INSTRUÇÃO,AVIÃO,AEROMOT,AMT-600,PISTÃO,MONOMOTOR,2,2006,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,INSTRUÇÃO,LEVE,0
REGULAR,AVIÃO,FOKKER,F28MK0100,JATO,BIMOTOR,107,1993,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,REGULAR,NENHUM,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,PISTÃO,MONOMOTOR,4,1982,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,CARLOS PRATES,CARLOS PRATES,SUBIDA,INSTRUÇÃO,SUBSTANCIAL,0
REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-232,JATO,BIMOTOR,184,1999,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
***,AVIÃO,CESSNA AIRCRAFT,208B,TURBOÉLICE,MONOMOTOR,11,1993,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,***,CRUZEIRO DO SUL,DECOLAGEM,TÁXI AÉREO,NENHUM,0
INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,PISTÃO,MONOMOTOR,2,1992,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,INSTRUÇÃO,NENHUM,0
***,AVIÃO,LEARJET,35A,JATO,BIMOTOR,10,1981,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,EDUARDO GOMES,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,LEVE,0
***,AVIÃO,CESSNA AIRCRAFT,550,JATO,BIMOTOR,7,1991,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,AEROPUERTO INTERNACIONAL MINISTRO PISTARINI,AFONSO PENA,CRUZEIRO,TÁXI AÉREO,NENHUM,0
***,AVIÃO,CESSNA AIRCRAFT,310R,PISTÃO,BIMOTOR,6,1976,BRASIL,BRASIL,AVIÃO,PARTICULAR,DOUTOR RAMALHO FRANCO,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,DESCIDA,PRIVADA,DESTRUÍDA,2
TÁXI AÉREO,HELICÓPTERO,BELL HELICOPTER,206B,TURBOEIXO,MONOMOTOR,5,1976,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,NENHUM,0
***,AVIÃO,BOEING COMPANY,737-7EH,JATO,BIMOTOR,154,2009,BRASIL,BRASIL,AVIÃO,REGULAR,DEPUTADO LUÍS EDUARDO MAGALHÃES,ANTONIO CARLOS JOBIM / GALEÃO,SUBIDA,REGULAR,NENHUM,0
PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711ST,PISTÃO,MONOMOTOR,4,1980,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,NENHUM,0
ESPECIALIZADA,AVIÃO,CESSNA AIRCRAFT,170A,PISTÃO,MONOMOTOR,1,1950,BRASIL,BRASIL,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,ESPECIALIZADA,LEVE,0
INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,152,PISTÃO,MONOMOTOR,2,1977,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,0
***,AVIÃO,EMBRAER,EMB-500,JATO,BIMOTOR,6,2009,BRASIL,BRASIL,AVIÃO,PARTICULAR,PRESIDENTE JUSCELINO KUBITSCHEK,CAMPO DE MARTE,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
***,AVIÃO,CESSNA AIRCRAFT,150J,PISTÃO,MONOMOTOR,2,1969,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,GOVERNADOR JOSÉ RICHA,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,LEVE,0
INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,PISTÃO,MONOMOTOR,2,1990,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,LEVE,0
***,HELICÓPTERO,HELIBRAS,AS 350 B3,TURBOEIXO,MONOMOTOR,7,1999,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,UNICID - UNIVERSIDADE CIDADE DE SÃO PAULO,PARTIDA DO MOTOR,PRIVADA,DESTRUÍDA,0
***,AVIÃO,CESSNA AIRCRAFT,210H,PISTÃO,MONOMOTOR,4,1969,BRASIL,BRASIL,AVIÃO,PARTICULAR,ANÁPOLIS,FAZENDA SÃO LUIZ,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,BEECH AIRCRAFT,E55,PISTÃO,BIMOTOR,6,1974,BRASIL,BRASIL,AVIÃO,ADMINISTRAÇÃO DIRETA,ATLAS BRASIL CANTANHEDE,SERRA DO SOL,POUSO,NÃO REGULAR,SUBSTANCIAL,0
***,AVIÃO,CESSNA AIRCRAFT,210L,PISTÃO,MONOMOTOR,6,1973,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720C,PISTÃO,MONOMOTOR,7,1977,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,BREVES,GURUPÁ,POUSO,TÁXI AÉREO,LEVE,0
***,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PISTÃO,BIMOTOR,6,1997,BRASIL,BRASIL,AVIÃO,PARTICULAR,BACACHERI,JOSÉ CLETO,POUSO,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,CESSNA AIRCRAFT,185,PISTÃO,MONOMOTOR,6,1962,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,ESTÂNCIA SANTA MARIA,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,XAVANTE,A-122-B,PISTÃO,MONOMOTOR,2,1974,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,BRIGADEIRO ARARIPE MACEDO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,DESTRUÍDA,0
***,AVIÃO,BEECH AIRCRAFT,A36,PISTÃO,MONOMOTOR,6,1974,BRASIL,BRASIL,AVIÃO,ADMINISTRAÇÃO DIRETA,SALGADO FILHO,ITAQUI,POUSO,POLICIAL,LEVE,0
PARTICULAR,AVIÃO,DASSAULT AVIATION,FALCON 10,JATO,BIMOTOR,9,1975,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,NENHUM,0
REGULAR,AVIÃO,MCDONNELL DOUGLAS,DC-10-30F,JATO,TRIMOTOR,7,1975,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,REGULAR,NENHUM,0
***,AVIÃO,AERO BOERO,AB-115,PISTÃO,MONOMOTOR,2,1991,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,PORTO NACIONAL,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0
REGULAR,AVIÃO,FOKKER,F28MK0100,JATO,BIMOTOR,107,1993,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,REGULAR,NENHUM,0
TÁXI AÉREO,AVIÃO,EMBRAER,EMB-810D,PISTÃO,BIMOTOR,6,1989,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,TÁXI AÉREO,NENHUM,0
INSTRUÇÃO,AVIÃO,XAVANTE,A-122-B,PISTÃO,MONOMOTOR,2,1978,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,RETA FINAL,INSTRUÇÃO,NENHUM,0
PARTICULAR,AVIÃO,CESSNA AIRCRAFT,182P,PISTÃO,MONOMOTOR,5,1974,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,PRIVADA,NENHUM,0
TÁXI AÉREO,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,TURBOEIXO,BIMOTOR,14,2007,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,NENHUM,0
EXPERIMENTAL,AVIÃO,***,BUMERANGUE EX27,PISTÃO,MONOMOTOR,4,2008,BRASIL,BRASIL,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,EXPERIMENTAL,NENHUM,0
***,AVIÃO,CESSNA AIRCRAFT,210K,PISTÃO,MONOMOTOR,6,1970,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
***,AVIÃO,BEECH AIRCRAFT,58,PISTÃO,BIMOTOR,6,1974,BRASIL,BRASIL,AVIÃO,ADMINISTRAÇÃO INDIRETA,OURILÂNDIA DO NORTE,FORA DE AERODROMO,POUSO,PRIVADA,SUBSTANCIAL,0
REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-500,TURBOÉLICE,BIMOTOR,52,1996,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,NENHUM,0
REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-320,TURBOÉLICE,BIMOTOR,50,1992,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,REGULAR,NENHUM,0
INSTRUÇÃO,AVIÃO,PIPER AIRCRAFT,PA-34-200,PISTÃO,BIMOTOR,7,1972,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,INSTRUÇÃO,LEVE,0
INSTRUÇÃO,AVIÃO,EMBRAER,EMB-810C,PISTÃO,BIMOTOR,6,1977,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,INSTRUÇÃO,LEVE,0
ESPECIALIZADA,AVIÃO,CESSNA AIRCRAFT,208B,TURBOÉLICE,MONOMOTOR,3,2000,BRASIL,BRASIL,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,ESPECIALIZADA,LEVE,0
EXPERIMENTAL,AVIÃO,NILSON SULZBACH PERES,KIT FOX,PISTÃO,MONOMOTOR,2,1989,BRASIL,BRASIL,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,EXPERIMENTAL,SUBSTANCIAL,0
ADMINISTRAÇÃO DIRETA,HELICÓPTERO,HELIBRAS,HB-350B,TURBOEIXO,MONOMOTOR,6,1983,BRASIL,BRASIL,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,PAIRADO,POLICIAL,NENHUM,0
